;Papel;Cotação;EV/EBIT;ROIC;EVOrdenado;ROICOrdenado;Score;sector
155;SBFG3.SA;20.92;22.78;0.0528;161;155;316;Consumer Cyclical
157;EMBR3.SA;16.43;11.3;0.049100000000000005;116;157;273;Industrials
158;SQIA3.SA;15.91;34.35;0.04769999999999999;179;158;337;Technology
159;IGTI11.SA;18.87;26.41;0.045599999999999995;169;159;328;Industrials
160;IGTI3.SA;2.33;23.83;0.045599999999999995;163;160;323;Industrials
163;MELK3.SA;3.7;4.09;0.0453;28;163;191;Real Estate
164;NTCO3.SA;22.21;18.3;0.044199999999999996;148;164;312;Consumer Defensive
165;PNVL3.SA;12.86;31.94;0.044199999999999996;176;165;341;Healthcare
166;MDIA3.SA;20.28;19.76;0.043;151;166;317;Consumer Defensive
167;MRVE3.SA;11.56;12.33;0.0425;122;167;289;Consumer Cyclical
168;RAIL3.SA;15.25;25.39;0.0414;166;168;334;Industrials
169;VIIA3.SA;3.62;13.69;0.039;129;169;298;Consumer Cyclical
170;ALSO3.SA;21.47;17.27;0.0388;146;170;316;Real Estate
171;MDNE3.SA;6.11;5.61;0.037200000000000004;44;171;215;Real Estate
172;MTRE3.SA;5.4;9.16;0.035699999999999996;98;172;270;Real Estate
173;HAPV3.SA;11.98;162.85;0.0356;192;173;365;Healthcare
175;HBSA3.SA;2.86;31.68;0.0347;175;175;350;Industrials
176;GFSA3.SA;1.66;10.45;0.0346;106;176;282;Consumer Cyclical
177;AMER3.SA;30.09;32.2;0.0345;177;177;354;Consumer Cyclical
178;BRML3.SA;9.18;16.53;0.034300000000000004;142;178;320;Real Estate
179;ANIM3.SA;7.2;23.4;0.0331;162;179;341;Consumer Defensive
180;GNDI3.SA;66.95;91.13;0.030899999999999997;187;180;367;Healthcare
181;MGLU3.SA;6.29;79.37;0.0279;186;181;367;Consumer Cyclical
182;GUAR3.SA;11.07;26.18;0.0254;168;182;350;Consumer Cyclical
183;SOMA3.SA;12.71;49.3;0.025;183;183;366;Consumer Cyclical
184;LOGG3.SA;26.4;33.75;0.0227;178;184;362;Real Estate
185;BRPR3.SA;7.43;25.18;0.021099999999999997;165;185;350;Real Estate
186;HBOR3.SA;3.45;18.9;0.018600000000000002;149;186;335;Real Estate
190;LWSA3.SA;9.18;118.15;0.013300000000000001;190;190;380;Technology
191;SEQL3.SA;14.85;143.95;0.0109;191;191;382;Industrials
192;DASA3.SA;24.34;106.61;0.0104;188;192;380;Healthcare
194;OPCT3.SA;3.51;415.6;0.0018;193;194;387;Industrials
